sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,26907,181,2,3045,315,110.95204888217421,0.8925186754376184,271.7521941563229,693.1056894833254,2611.7184747463484
TOTAL,26907,181,2,3045,315,110.95204888217421,0.8925186754376184,271.7521941563229,693.1056894833254,2611.7184747463484
