sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,26907,181,170,315,2,3045,0.8925186754376184,271.7521941563229,693.1056894833254,110.95204888217421
TOTAL,26907,181,170,315,2,3045,0.8925186754376184,271.7521941563229,693.1056894833254,110.95204888217421
